Score:		Name:
200000		hi
300000		klo
300000		ll
100000		opo
300000		kk
100000		
300000		lklk
300000		pop
300000		kl
300000		
300000		kira
300000		kira
300000		kirt
600000		Kirtee
400000		Kirtee
300000		kiop
300000		ysg
600000		sfhfb
300000		
800000		shRd
300000		sharad
300000		Kirt
800000		oo
300000		
700000		koi
300000		klo
100000		sharad
800000		sharad
500000		kirtee
0		ki
0		la
0		lk
300000		kirtee
300000		
700000		aj
500000		l
500000		kir
400000		kirte
500000		kirtee
700000		kir
800000		kirtee
500000		kirtee
